bytes,time
37,1
4,1
16384,0
56,0
32,1
64,0
32,0
64,0
32,0
64,0
40,1
40,0
40,0
40,0
40,1
40,0
40,0
40,1
40,0
40,0
40,1
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,1
40,0
32,1
32816,0
8,1
232,0
72704,0
80,1
18,0
16,0
15,0
17,0
19,0
20,0
17,0
16,1
16,0
18,0
20,0
18,1
17,0
17,0
19,0
13,0
21,0
21,0
22,1
26,0
21,0
16,0
18,1
21,0
20,0
25,0
12,1
22,0
15,0
16,0
17,1
18,0
25,0
21,0
16,0
15,1
15,0
12,1
10,0
9,0
20,0
18,1
27,0
11,1
16,0
16,1
18,0
15,0
17,0
15,1
33,1
24,0
23,0
31,0
34,1
31,0
34,0
14,0
23,1
26,0
18,0
16,0
18,1
15,0
19,0
14,0
21,1
21,0
21,0
14,0
12,1
22,1
25,0
18,0
17,0
14,0
18,1
15,0
12,0
16,0
17,0
19,1
25,1
25,0
24,0
15,0
16,0
19,1
17,0
17,0
15,0
16,0
13,1
14,0
10,0
14,0
12,0
80,1
24,1
8,0
24,1
128,1
24,1
256,0
24,0
512,0
24,0
1024,1
31,0
16,0
16,1
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
24,1
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,0
16,0
26,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
18,0
16,1
16,0
22,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
26,0
16,0
16,1
16,0
16,0
16,1
16,0
18,0
16,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,1
16,0
16,0
16,0
16,1
26,0
16,0
16,0
26,0
16,0
16,0
22,1
16,0
16,0
16,0
20,1
16,0
16,0
16,0
16,1
16,0
16,0
24,0
16,0
20,0
16,0
16,0
16,0
16,0
21,0
16,0
17,0
16,1
16,0
17,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
20,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,1
20,0
16,0
16,0
16,1
16,0
20,0
16,1
16,0
16,0
16,0
16,1
16,0
24,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,1
16,0
20,0
16,0
16,1
16,0
16,0
34,0
16,1
31,0
16,0
22,1
16,0
16,0
34,0
16,0
16,1
19,0
16,0
16,0
20,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,0
16,1
26,0
16,0
16,0
16,0
24,0
16,0
16,1
16,0
17,0
16,1
20,0
16,0
17,0
16,0
16,0
20,1
16,0
16,0
17,0
16,0
16,0
16,0
16,1
16,0
22,0
16,1
16,0
16,0
16,0
18,0
16,0
16,0
16,0
16,0
21,0
16,1
16,0
16,0
16,0
16,0
16,0
33,0
16,1
20,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,0
20,0
16,1
16,0
16,0
16,1
16,0
20,0
16,0
21,0
16,0
16,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
16,0
16,0
16,0
16,1
20,0
16,0
20,0
16,0
16,0
16,0
16,1
20,0
16,0
16,0
16,0
20,0
16,0
16,1
16,0
16,0
19,0
16,0
16,0
16,0
16,1
16,0
16,0
16,0
18,0
16,1
16,0
16,0
16,0
16,0
19,0
16,0
16,1
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,1
16,0
16,0
16,0
16,1
16,0
16,0
16,1
16,0
16,0
16,1
16,0
16,0
16,0
